"Intrebare pacient","Raspunsuri pacient","Intrebare clinica","Raspuns clinic"
"Ce simți în timp ce faci mișcarea?","Pot privi complet și la fel pe ambele părți | Pot privi, dar doare pe partea stângă | Pot privi, dar doare pe partea dreaptă | Nu pot privi în lateral pentru că mă doare tare | Nu pot privi în lateral pentru că am gâtul rigid, dar nu mă doare tare","Rotatie cervicala","Rotatie simetrica fara durere | Rotatie dureroasa stanga | Rotatie dureroasa dreapta | Rotatie limitata - durere | Rotatie limitata - rigiditate"
"Ce simți în timp ce faci mișcarea?","Ajung aproape de umăr fără durere, pe ambele părți | Ajung pe partea dreaptă, dar doare. Partea stângă e bine | Ajung pe partea stângă, dar doare. Partea dreaptă e bine | Nu pot apropia suficient pe nicio parte pentru că doare | Nu pot apropia suficient pe nicio parte pentru că îmi simt gâtul rigid, dar nu doare tare","Flexie laterala cervicala","Inclinare simetrica fara durere | Inclinare dureroasa dreapta | Inclinare dureroasa stanga | Inclinare limitata - durere | Inclinare limitata - rigiditate"
"Ce se întâmplă când închizi ochii?","Îmi mențin echilibrul fără probleme | Mă clatin vizibil, dar pot să îmi mențin echilibrul | Trebuie să deschid ochii sau să mă sprijine cineva, altfel cad","Rhomberg test","Negativ | Cu drift corectabil | Pozitiv"
"Ce se întâmplă în timpul mișcării?","Nu se modifică nimic | Apare durere doar în gât | Durerea coboară în braț","Spurling test","Negativ | Durere cervicala | Iradiere brahiala"
"Ce se întâmplă în timpul mișcării?","Nu apare nimic | Apare o senzație de „curent” pe coloană sau în brațe","Lhermitte test","Negativ | Pozitiv"
"Braț — care zone sunt diferite față de partea sănătoasă?","Verde | Albastru | Mov | Galben | Nicio zonă — simt la fel peste tot","Harta sensibilitate brat","Dermatom C4 | Dermatom T1-T2 | Dermatom T2-T3 | Dermatom C5-C6 | Fara deficit sensibilitate"
"Mână — care zone sunt diferite?","Roșu | Alb | Negru | Nicio zonă — simt la fel peste tot","Harta sensibilitate mana","Dermatom C6 | Dermatom C7 | Dermatom C8 | Fara deficit sensibilitate"
"Cum este forța pe partea afectată comparativ cu cea sănătoasă?","Forța este la fel pe ambele părți | Simt că brațul afectat este ușor mai slab | Este clar mai slab / obosește rapid / nu pot ridica la fel","Test forta biceps C5","Biceps C5 OK | Biceps C5 usor-moderat afectat | Biceps C5 moderat-sever afectat"
"Cum este forța pe partea afectată?","Rezist la fel de bine ca pe partea sănătoasă | Rezist, dar simt că este mai slabă | Mâna cedează ușor / nu pot menține poziția","Test dorsiflexie pumn C6","Dorsiflexie pumn C6 OK | Dorsiflexie pumn C6 usor-moderat afectata | Dorsiflexie pumn C6 moderat-sever afectata"
"Cum este forța pe partea afectată?","Rezist la fel de bine ca pe partea sănătoasă | Rezist, dar simt că este mai slab | Brațul cedează ușor / nu pot menține poziția","Test forta triceps C7","Triceps C7 OK | Triceps C7 usor-moderat afectat | Triceps C7 moderat-sever afectat"
"Cum este forța de strângere pe partea afectată?","Forța este la fel pe ambele părți | Simt că este ușor mai slabă | Este clar mai slabă / obiectul îmi scapă","Test flexor middle finger C8","Flexor middle finger C8 OK | Flexor middle finger C8 usor-moderat afectat | Flexor middle finger C8 moderat-sever afectat"
"","","",""
"--- COLOANA LOMBARA ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Pe ce parte sunt mai intense simptomele?","Dreapta | Stânga | Ambele la fel | Doar în zona lombară, fără iradiere pe picior","Parte afectata","Dreapta | Stanga | Bilateral | Lombar fara iradiere"
"Ce te deranjează mai mult?","Durerea locală în zona lombară | Durerea care coboară pe picior | Amorțeala / furnicăturile pe picior | Slăbiciunea în picior | Niciuna","Simptom dominant","Durere locala | Iradiere radiculara | Parestezii radiculare | Deficit motor | Fara simptome dominante"
"Durerea coboară sub nivelul genunchiului?","Nu | Da, pe partea dreaptă | Da, pe partea stângă | Da, pe ambele părți","Iradiere sub genunchi","Nu | Dreapta | Stanga | Bilateral"
"Când mergi o perioadă mai lungă:","Pot merge fără limitare | După un timp simt durere / greutate în picioare | Trebuie să mă opresc frecvent din cauza durerii sau slăbiciunii","Toleranta la mers","Fara limitare | Claudicatie moderata | Claudicatie severa"
"Când mă așez pe un scaun sau mă aplec ușor înainte:","Nu se schimbă nimic | Durerea se ameliorează clar | Slăbiciunea din picioare se ameliorează","Ameliorare flexie","Fara ameliorare | Ameliorare durere | Ameliorare deficit motor"
"Ai observat oricare dintre următoarele apărute recent?","Amorțeală în zona dintre picioare (zona „șeii"") | Pierdere involuntară de urină sau scaun (brusc mai grav față de problemele tale digestive sau urinare cronice, dacă acestea există) | Dificultate bruscă de a porni jetul urinar (brusc mai grav față de problemele tale urinare cronice, dacă acestea există) | Slăbiciune progresivă accentuată într-un picior | Niciuna dintre acestea","Semne alarma cauda","Anestezie in sa | Incontinenta | Retentie urinara | Deficit motor progresiv | Fara semne alarma"
"Dimineața, după ce te ridici din pat, cum te simți în zona lombară?","Mă simt rigid, dar se ameliorează după ce mă mișc, în 30-60 minute | Durerea este mai intensă la primii pași și când îndrept coloana | Nu observ diferențe","Comportament matinal","Redoare matinala inflamatorie | Pattern degenerativ | Fara pattern clar"
"Statul prelungit pe scaun:","Nu influențează | Agravează durerea lombară | Agravează durerea pe picior","Comportament sedentar","Fara influenta | Agraveaza durere locala | Agraveaza iradiere"
"-- TESTE SPECIFICE --","","",""
"Apleacă-te înainte și încearcă să atingi vârfurile picioarelor.","Este la fel ca înainte de episod | Simt că mă „ține"" în zona lombară | Simt durere lombară | Durerea coboară pe picior","Flexie lombara","Normala | Tensiune posterioara | Dureroasa local | Iradiere radiculara"
"Îndreaptă cât poți de mult spatele.","Fără durere | Doare local în lombar | Durerea coboară pe picior","Extensie lombara","Normala | Dureroasa local | Iradiere radiculara"
"Mergi câțiva pași doar pe călcâie, ridicând cât poți de mult partea din față a piciorului și degetele în sus.","Pot merge normal, fără diferență între picioare | Pot merge, dar simt o ușoară slăbiciune pe partea afectată | Pot merge, dar simt clar că degetul mare este mai slab pe partea afectată | Nu pot menține poziția pe partea afectată","Mers pe calcaie","Normal | Slabiciune usoara | Slabiciune clara L5 | Drop foot"
"Mergi câțiva pași doar pe vârfuri.","Pot merge normal, fără diferență | Pot merge, dar simt slăbiciune pe partea afectată | Pot merge, dar degetul mare este mai slab pe partea afectată | Nu pot menține poziția din cauza slăbiciunii | Nu pot din cauza durerii sau instabilității în talpă / gleznă","Mers pe varfuri","Normal | Slabiciune usoara | Imposibil - slabiciune | Imposibil - durere"
"Care zone sunt dureroase la apăsare? (max. 2 zone)","Roșu | Mov | Albastru | Verde | Galben | Nicio zonă nu este clar mai dureroasă la apăsare","Harta durere lombara","Paravertebral lombar | Linie mediana procese spinoase | Sacro-iliac | Sold posterior | Mare trohanter | Fara zona clara"
"Care zone au sensibilitate diferită? (poți bifa mai multe)","Verde | Galben | Mov | Albastru | Roșu | Nicio zonă — simt la fel peste tot","Harta sensibilitate MI","Dermatom L1-L2 | Dermatom L3 | Dermatom L4 | Dermatom L5 | Dermatom S1 | Sensibilitate normala"
"Ce se întâmplă când ridici piciorul dureros?","Doar întindere în spatele coapsei (zona mov) | Apar simptome pe traiectul colorat din imagine — durere | Apar simptome pe traiectul colorat din imagine — amorțeală / furnicături","Lasegue si Pseudo-Lasegue","Pseudo-Lasegue pozitiv | Pozitiv durere | Pozitiv parestezii"
"Repetă testul și pentru celălalt picior. Ce se întâmplă?","Nu apar simptome | Apar simptome în același picior (mai sănătos) | Ridicarea piciorului sănătos declanșează simptome în piciorul dureros","Lasegue incrucișat","Negativ | Pseudo-Lasegue pozitiv | Lasegue incrucișat pozitiv"
"Ce simți în timp ce faci această mișcare?","Normal | Durere în zona inghinală | Mișcare limitată față de celălalt șold","Test Rotatie interna sold","Normal | Dureros inghinal | Limitata mecanic"
